index,fieldId,fieldName,sheet,targetColumn,sourceQuestion,transformationType,validation,businessRule,normalization,fallback,edgeCases
"21","MSPAS_U","Idioma predominante | Idioma predominante | Chaltiteko (5)","BAse completa","U","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"22","MSPAS_V","Idioma predominante | Idioma predominante | Chuj (6)","BAse completa","V","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"23","MSPAS_W","Idioma predominante | Idioma predominante | Itza (7)","BAse completa","W","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"24","MSPAS_X","Idioma predominante | Idioma predominante | Ixil (8)","BAse completa","X","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"25","MSPAS_Y","Idioma predominante | Idioma predominante | Jakalteko (9)","BAse completa","Y","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"26","MSPAS_Z","Idioma predominante | Idioma predominante | Kaqchikel (10)","BAse completa","Z","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"27","MSPAS_AA","Idioma predominante | Idioma predominante | K'iche' (11)","BAse completa","AA","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"28","MSPAS_AB","Idioma predominante | Idioma predominante | Mam (12)","BAse completa","AB","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"29","MSPAS_AC","Idioma predominante | Idioma predominante | Mopan (13)","BAse completa","AC","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"30","MSPAS_AD","Idioma predominante | Idioma predominante | Pocomam (14)","BAse completa","AD","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"31","MSPAS_AE","Idioma predominante | Idioma predominante | Poqomchi (15)","BAse completa","AE","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"32","MSPAS_AF","Idioma predominante | Idioma predominante | Q'anjob'al (16)","BAse completa","AF","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"33","MSPAS_AG","Idioma predominante | Idioma predominante | Q'eqchi' (17)","BAse completa","AG","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"34","MSPAS_AH","Idioma predominante | Idioma predominante | Sakapulteco (18)","BAse completa","AH","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"35","MSPAS_AI","Idioma predominante | Idioma predominante | Sipakapense (19)","BAse completa","AI","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"36","MSPAS_AJ","Idioma predominante | Idioma predominante | Tektiteko (20)","BAse completa","AJ","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"37","MSPAS_AK","Idioma predominante | Idioma predominante | Tz'utujil (21)","BAse completa","AK","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"38","MSPAS_AL","Idioma predominante | Idioma predominante | Uspanteko (22)","BAse completa","AL","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"39","MSPAS_AM","Idioma predominante | Idioma predominante | Xinca (23)","BAse completa","AM","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"40","MSPAS_AN","Idioma predominante | Idioma predominante | Garifuna (24)","BAse completa","AN","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"41","MSPAS_AO","Idioma predominante | Idioma predominante | Espanol (25)","BAse completa","AO","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","route_to_AP_code_26","multiple_options_marked|no_option_marked"
"42","MSPAS_AP","Idioma predominante | Idioma predominante | Otro (idiomas extranjeros) (26)","BAse completa","AP","Idioma predominante","catalog_code_one_hot","exactly_one_or_none|allowed_codes_1_26","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","self","multiple_options_marked|no_option_marked"
"43","MSPAS_AQ","Sexo | Sexo | Hombre","BAse completa","AQ","Sexo","catalog_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"44","MSPAS_AR","Sexo | Sexo | Mujer","BAse completa","AR","Sexo","catalog_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"45","MSPAS_AS","Servicio donde fue atendido | Servicio donde fue atendido | COEX","BAse completa","AS","Servicio donde fue atendido","catalog_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"46","MSPAS_AT","Servicio donde fue atendido | Servicio donde fue atendido | Emergencia","BAse completa","AT","Servicio donde fue atendido","catalog_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"47","MSPAS_AU","Servicio donde fue atendido | Servicio donde fue atendido | Encamamiento","BAse completa","AU","Servicio donde fue atendido","catalog_one_hot","exactly_one_or_none","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"48","MSPAS_AV","TRATO Y ATENCIÓN RECIBIDA | Personal Médico | MS","BAse completa","AV","Personal Médico","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"49","MSPAS_AW","TRATO Y ATENCIÓN RECIBIDA | Personal Médico | S","BAse completa","AW","Personal Médico","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"50","MSPAS_AX","TRATO Y ATENCIÓN RECIBIDA | Personal Médico | N","BAse completa","AX","Personal Médico","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"51","MSPAS_AY","TRATO Y ATENCIÓN RECIBIDA | Personal Médico | I","BAse completa","AY","Personal Médico","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"52","MSPAS_AZ","TRATO Y ATENCIÓN RECIBIDA | Personal Médico | MI","BAse completa","AZ","Personal Médico","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"53","MSPAS_BA","TRATO Y ATENCIÓN RECIBIDA | Personal de enfermería | MS","BAse completa","BA","Personal de enfermería","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"54","MSPAS_BB","TRATO Y ATENCIÓN RECIBIDA | Personal de enfermería | S","BAse completa","BB","Personal de enfermería","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"55","MSPAS_BC","TRATO Y ATENCIÓN RECIBIDA | Personal de enfermería | N","BAse completa","BC","Personal de enfermería","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"56","MSPAS_BD","TRATO Y ATENCIÓN RECIBIDA | Personal de enfermería | I","BAse completa","BD","Personal de enfermería","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"57","MSPAS_BE","TRATO Y ATENCIÓN RECIBIDA | Personal de enfermería | MI","BAse completa","BE","Personal de enfermería","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"58","MSPAS_BF","TRATO Y ATENCIÓN RECIBIDA | Personal de recepción/admisión | MS","BAse completa","BF","Personal de recepción/admisión","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"59","MSPAS_BG","TRATO Y ATENCIÓN RECIBIDA | Personal de recepción/admisión | S","BAse completa","BG","Personal de recepción/admisión","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"60","MSPAS_BH","TRATO Y ATENCIÓN RECIBIDA | Personal de recepción/admisión | N","BAse completa","BH","Personal de recepción/admisión","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"61","MSPAS_BI","TRATO Y ATENCIÓN RECIBIDA | Personal de recepción/admisión | I","BAse completa","BI","Personal de recepción/admisión","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"62","MSPAS_BJ","TRATO Y ATENCIÓN RECIBIDA | Personal de recepción/admisión | MI","BAse completa","BJ","Personal de recepción/admisión","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"63","MSPAS_BK","TRATO Y ATENCIÓN RECIBIDA | Cortesía y respeto durante la atención | MS","BAse completa","BK","Cortesía y respeto durante la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"64","MSPAS_BL","TRATO Y ATENCIÓN RECIBIDA | Cortesía y respeto durante la atención | S","BAse completa","BL","Cortesía y respeto durante la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"65","MSPAS_BM","TRATO Y ATENCIÓN RECIBIDA | Cortesía y respeto durante la atención | N","BAse completa","BM","Cortesía y respeto durante la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"66","MSPAS_BN","TRATO Y ATENCIÓN RECIBIDA | Cortesía y respeto durante la atención | I","BAse completa","BN","Cortesía y respeto durante la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"67","MSPAS_BO","TRATO Y ATENCIÓN RECIBIDA | Cortesía y respeto durante la atención | MI","BAse completa","BO","Cortesía y respeto durante la atención","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"68","MSPAS_BP","TRATO Y ATENCIÓN RECIBIDA | El personal le llamó por su nombre | MS","BAse completa","BP","El personal le llamó por su nombre","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"69","MSPAS_BQ","TRATO Y ATENCIÓN RECIBIDA | El personal le llamó por su nombre | S","BAse completa","BQ","El personal le llamó por su nombre","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"70","MSPAS_BR","TRATO Y ATENCIÓN RECIBIDA | El personal le llamó por su nombre | N","BAse completa","BR","El personal le llamó por su nombre","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"71","MSPAS_BS","TRATO Y ATENCIÓN RECIBIDA | El personal le llamó por su nombre | I","BAse completa","BS","El personal le llamó por su nombre","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"72","MSPAS_BT","TRATO Y ATENCIÓN RECIBIDA | El personal le llamó por su nombre | MI","BAse completa","BT","El personal le llamó por su nombre","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"73","MSPAS_BU","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Psicología | MS","BAse completa","BU","Psicología","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"74","MSPAS_BV","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Psicología | S","BAse completa","BV","Psicología","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"75","MSPAS_BW","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Psicología | N","BAse completa","BW","Psicología","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"76","MSPAS_BX","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Psicología | I","BAse completa","BX","Psicología","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"77","MSPAS_BY","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Psicología | MI","BAse completa","BY","Psicología","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"78","MSPAS_BZ","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Nutrición | MS","BAse completa","BZ","Nutrición","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"79","MSPAS_CA","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Nutrición | S","BAse completa","CA","Nutrición","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"80","MSPAS_CB","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Nutrición | N","BAse completa","CB","Nutrición","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"81","MSPAS_CC","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Nutrición | I","BAse completa","CC","Nutrición","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"82","MSPAS_CD","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Nutrición | MI","BAse completa","CD","Nutrición","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"83","MSPAS_CE","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Trabajo Social | MS","BAse completa","CE","Trabajo Social","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"84","MSPAS_CF","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Trabajo Social | S","BAse completa","CF","Trabajo Social","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"85","MSPAS_CG","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Trabajo Social | N","BAse completa","CG","Trabajo Social","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"86","MSPAS_CH","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Trabajo Social | I","BAse completa","CH","Trabajo Social","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"87","MSPAS_CI","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Trabajo Social | MI","BAse completa","CI","Trabajo Social","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"88","MSPAS_CJ","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Laboratorio Clínico | MS","BAse completa","CJ","Laboratorio Clínico","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"89","MSPAS_CK","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Laboratorio Clínico | S","BAse completa","CK","Laboratorio Clínico","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"90","MSPAS_CL","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Laboratorio Clínico | N","BAse completa","CL","Laboratorio Clínico","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"91","MSPAS_CM","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Laboratorio Clínico | I","BAse completa","CM","Laboratorio Clínico","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"92","MSPAS_CN","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Laboratorio Clínico | MI","BAse completa","CN","Laboratorio Clínico","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"93","MSPAS_CO","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Imágenes Diagnosticas (rayos x, ultrasonido) | MS","BAse completa","CO","Imágenes Diagnosticas (rayos x, ultrasonido)","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"94","MSPAS_CP","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Imágenes Diagnosticas (rayos x, ultrasonido) | S","BAse completa","CP","Imágenes Diagnosticas (rayos x, ultrasonido)","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"95","MSPAS_CQ","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Imágenes Diagnosticas (rayos x, ultrasonido) | N","BAse completa","CQ","Imágenes Diagnosticas (rayos x, ultrasonido)","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"96","MSPAS_CR","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Imágenes Diagnosticas (rayos x, ultrasonido) | I","BAse completa","CR","Imágenes Diagnosticas (rayos x, ultrasonido)","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
"97","MSPAS_CS","TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Imágenes Diagnosticas (rayos x, ultrasonido) | MI","BAse completa","CS","Imágenes Diagnosticas (rayos x, ultrasonido)","likert_one_hot","exactly_one_or_none|allowed_options_MS_S_N_I_MI","one_hot_consistency","trim_upper_ascii + map_catalog_aliases","default_0","multiple_options_marked|no_option_marked"
