fieldId,targetColumn,excelColumn,preguntaOrigen,fuenteDatos,transformationType,estadoCobertura,puedeLlenarseHoy,requiereTransformacion,requiereModificarFormulario,requiereModificarBD,requiereModificarPreguntas,requiereNuevaReglaNegocio,debePermanecerVacio,imposibleActualmente,cambiosRequeridos,riesgos,prioridad
"MSPAS_Q","Q","Q - Idioma predominante | Idioma predominante | Achi (1)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_R","R","R - Idioma predominante | Idioma predominante | Akateko (2)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_S","S","S - Idioma predominante | Idioma predominante | Awakateco (3)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_T","T","T - Idioma predominante | Idioma predominante | Chalchiteko (4)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_U","U","U - Idioma predominante | Idioma predominante | Chaltiteko (5)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_V","V","V - Idioma predominante | Idioma predominante | Chuj (6)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_W","W","W - Idioma predominante | Idioma predominante | Itza (7)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_X","X","X - Idioma predominante | Idioma predominante | Ixil (8)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_Y","Y","Y - Idioma predominante | Idioma predominante | Jakalteko (9)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_Z","Z","Z - Idioma predominante | Idioma predominante | Kaqchikel (10)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AA","AA","AA - Idioma predominante | Idioma predominante | K'iche' (11)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AB","AB","AB - Idioma predominante | Idioma predominante | Mam (12)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AC","AC","AC - Idioma predominante | Idioma predominante | Mopan (13)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AD","AD","AD - Idioma predominante | Idioma predominante | Pocomam (14)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AE","AE","AE - Idioma predominante | Idioma predominante | Poqomchi (15)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AF","AF","AF - Idioma predominante | Idioma predominante | Q'anjob'al (16)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AG","AG","AG - Idioma predominante | Idioma predominante | Q'eqchi' (17)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AH","AH","AH - Idioma predominante | Idioma predominante | Sakapulteco (18)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AI","AI","AI - Idioma predominante | Idioma predominante | Sipakapense (19)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AJ","AJ","AJ - Idioma predominante | Idioma predominante | Tektiteko (20)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AK","AK","AK - Idioma predominante | Idioma predominante | Tz'utujil (21)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AL","AL","AL - Idioma predominante | Idioma predominante | Uspanteko (22)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AM","AM","AM - Idioma predominante | Idioma predominante | Xinca (23)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AN","AN","AN - Idioma predominante | Idioma predominante | Garifuna (24)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AO","AO","AO - Idioma predominante | Idioma predominante | Espanol (25)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AP","AP","AP - Idioma predominante | Idioma predominante | Otro (idiomas extranjeros) (26)","Idioma predominante","Idioma predominante","catalog_code_one_hot","IMPOSIBLE_ACTUALMENTE","NO","SI","SI","SI","SI","SI","NO","SI","Agregar captura de idioma predominante (catalogo 26 MSPAS) y persistencia","Brecha critica de cobertura en 26 columnas del Excel","ALTA"
"MSPAS_AQ","AQ","AQ - Sexo | Sexo | Hombre","encabezado.sexo","encabezado.sexo","catalog_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","SI","NO","NO","Mapear Masculino/Femenino a Hombre/Mujer y definir regla para Otro","Valor Otro no tiene columna dedicada en plantilla MSPAS","MEDIA"
"MSPAS_AR","AR","AR - Sexo | Sexo | Mujer","encabezado.sexo","encabezado.sexo","catalog_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","SI","NO","NO","Mapear Masculino/Femenino a Hombre/Mujer y definir regla para Otro","Valor Otro no tiene columna dedicada en plantilla MSPAS","MEDIA"
"MSPAS_AS","AS","AS - Servicio donde fue atendido | Servicio donde fue atendido | COEX","encabezado.servicio","encabezado.servicio","catalog_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","SI","NO","NO","Mapear consulta_externa a COEX y aplicar one-hot de servicio","Riesgo de clasificacion incorrecta si no se fija tabla de equivalencias","MEDIA"
"MSPAS_AT","AT","AT - Servicio donde fue atendido | Servicio donde fue atendido | Emergencia","encabezado.servicio","encabezado.servicio","catalog_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","SI","NO","NO","Mapear consulta_externa a COEX y aplicar one-hot de servicio","Riesgo de clasificacion incorrecta si no se fija tabla de equivalencias","MEDIA"
"MSPAS_AU","AU","AU - Servicio donde fue atendido | Servicio donde fue atendido | Encamamiento","encabezado.servicio","encabezado.servicio","catalog_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","SI","NO","NO","Mapear consulta_externa a COEX y aplicar one-hot de servicio","Riesgo de clasificacion incorrecta si no se fija tabla de equivalencias","MEDIA"
"MSPAS_AV","AV","AV - TRATO Y ATENCIÓN RECIBIDA | Personal Médico | MS","Personal Médico","Personal Médico","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_AW","AW","AW - TRATO Y ATENCIÓN RECIBIDA | Personal Médico | S","Personal Médico","Personal Médico","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_AX","AX","AX - TRATO Y ATENCIÓN RECIBIDA | Personal Médico | N","Personal Médico","Personal Médico","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_AY","AY","AY - TRATO Y ATENCIÓN RECIBIDA | Personal Médico | I","Personal Médico","Personal Médico","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_AZ","AZ","AZ - TRATO Y ATENCIÓN RECIBIDA | Personal Médico | MI","Personal Médico","Personal Médico","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BA","BA","BA - TRATO Y ATENCIÓN RECIBIDA | Personal de enfermería | MS","Personal de enfermería","Personal de enfermería","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BB","BB","BB - TRATO Y ATENCIÓN RECIBIDA | Personal de enfermería | S","Personal de enfermería","Personal de enfermería","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BC","BC","BC - TRATO Y ATENCIÓN RECIBIDA | Personal de enfermería | N","Personal de enfermería","Personal de enfermería","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BD","BD","BD - TRATO Y ATENCIÓN RECIBIDA | Personal de enfermería | I","Personal de enfermería","Personal de enfermería","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BE","BE","BE - TRATO Y ATENCIÓN RECIBIDA | Personal de enfermería | MI","Personal de enfermería","Personal de enfermería","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BF","BF","BF - TRATO Y ATENCIÓN RECIBIDA | Personal de recepción/admisión | MS","Personal de recepción/admisión","Personal de recepción/admisión","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BG","BG","BG - TRATO Y ATENCIÓN RECIBIDA | Personal de recepción/admisión | S","Personal de recepción/admisión","Personal de recepción/admisión","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BH","BH","BH - TRATO Y ATENCIÓN RECIBIDA | Personal de recepción/admisión | N","Personal de recepción/admisión","Personal de recepción/admisión","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BI","BI","BI - TRATO Y ATENCIÓN RECIBIDA | Personal de recepción/admisión | I","Personal de recepción/admisión","Personal de recepción/admisión","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BJ","BJ","BJ - TRATO Y ATENCIÓN RECIBIDA | Personal de recepción/admisión | MI","Personal de recepción/admisión","Personal de recepción/admisión","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BK","BK","BK - TRATO Y ATENCIÓN RECIBIDA | Cortesía y respeto durante la atención | MS","Cortesía y respeto durante la atención","Cortesía y respeto durante la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BL","BL","BL - TRATO Y ATENCIÓN RECIBIDA | Cortesía y respeto durante la atención | S","Cortesía y respeto durante la atención","Cortesía y respeto durante la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BM","BM","BM - TRATO Y ATENCIÓN RECIBIDA | Cortesía y respeto durante la atención | N","Cortesía y respeto durante la atención","Cortesía y respeto durante la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BN","BN","BN - TRATO Y ATENCIÓN RECIBIDA | Cortesía y respeto durante la atención | I","Cortesía y respeto durante la atención","Cortesía y respeto durante la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BO","BO","BO - TRATO Y ATENCIÓN RECIBIDA | Cortesía y respeto durante la atención | MI","Cortesía y respeto durante la atención","Cortesía y respeto durante la atención","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BP","BP","BP - TRATO Y ATENCIÓN RECIBIDA | El personal le llamó por su nombre | MS","El personal le llamó por su nombre","El personal le llamó por su nombre","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BQ","BQ","BQ - TRATO Y ATENCIÓN RECIBIDA | El personal le llamó por su nombre | S","El personal le llamó por su nombre","El personal le llamó por su nombre","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BR","BR","BR - TRATO Y ATENCIÓN RECIBIDA | El personal le llamó por su nombre | N","El personal le llamó por su nombre","El personal le llamó por su nombre","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BS","BS","BS - TRATO Y ATENCIÓN RECIBIDA | El personal le llamó por su nombre | I","El personal le llamó por su nombre","El personal le llamó por su nombre","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BT","BT","BT - TRATO Y ATENCIÓN RECIBIDA | El personal le llamó por su nombre | MI","El personal le llamó por su nombre","El personal le llamó por su nombre","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","NO","NO","One-hot Likert estandar (MS/S/N/I/MI) desde opcion_id","Bajo, siempre que se respete orden de opciones","BAJA"
"MSPAS_BU","BU","BU - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Psicología | MS","Psicología","Psicología","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_BV","BV","BV - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Psicología | S","Psicología","Psicología","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_BW","BW","BW - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Psicología | N","Psicología","Psicología","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_BX","BX","BX - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Psicología | I","Psicología","Psicología","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_BY","BY","BY - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Psicología | MI","Psicología","Psicología","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_BZ","BZ","BZ - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Nutrición | MS","Nutrición","Nutrición","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
"MSPAS_CA","CA","CA - TRATO Y ATENCIÓN EN LOS SERVICIOS DE APOYO | Nutrición | S","Nutrición","Nutrición","likert_one_hot","CUBIERTO_CON_CAMBIOS_MENORES","SI","SI","NO","NO","NO","NO","SI","NO","One-hot Likert condicionado por aplicabilidad del servicio","Sesgo si se fuerza valor cuando la pregunta no aplica","MEDIA"
